Date,Gender,Race,Age at Booking,Current Age
2019-06-01,M,B,23,25
2019-06-01,M,B,26,27
2019-06-01,M,B,25,26
2019-06-01,M,B,29,31
2019-06-01,M,B,29,30
2019-06-01,M,B,29,30
2019-06-01,M,W,23,24
2019-06-01,M,B,23,23
2019-06-01,M,B,27,27
2019-06-01,M,W,37,38
2019-06-01,M,W,26,27
2019-06-01,M,B,32,33
2019-06-01,M,B,40,40
2019-06-01,M,B,34,34
2019-06-01,M,W,35,36
2019-06-01,M,B,20,20
2019-06-01,M,W,36,37
2019-06-01,M,B,33,33
2019-06-01,M,B,46,47
2019-06-01,M,B,25,26
2019-06-01,M,B,38,38
2019-06-01,M,B,49,50
2019-06-01,M,B,54,54
2019-06-01,M,W,26,27
2019-06-01,M,B,29,29
2019-06-01,M,B,42,42
2019-06-01,M,W,37,37
2019-06-01,M,B,34,34
2019-06-01,M,W,45,45
2019-06-01,M,B,54,55
2019-06-01,M,B,25,25
2019-06-01,M,B,33,33
2019-06-01,M,B,26,26
2019-06-01,M,W,36,36
2019-06-01,M,W,35,35
2019-06-01,M,W,46,46
2019-06-01,M,W,31,32
2019-06-01,M,B,61,61
2019-06-01,M,W,37,37
2019-06-01,M,W,55,55
2019-06-01,M,B,41,41
2019-06-01,M,B,35,36
2019-06-01,M,W,31,31
2019-06-01,M,B,34,34
2019-06-01,M,W,40,40
2019-06-01,M,W,43,43
2019-06-01,M,B,45,45
2019-06-01,M,B,30,30
2019-06-01,M,W,32,32
2019-06-01,M,B,18,18
2019-06-01,M,B,25,25
2019-06-01,M,B,31,31
2019-06-01,M,B,26,26
2019-06-01,M,W,35,35
2019-06-01,M,B,26,26
2019-06-01,M,W,43,43
2019-06-01,M,B,24,24
2019-06-01,M,W,27,27
2019-06-01,M,B,34,34
2019-06-01,M,B,39,39
2019-06-01,M,W,43,43
2019-06-01,M,B,29,29
2019-06-01,M,B,27,27
2019-06-01,M,H,21,22
2019-06-01,M,W,25,25
2019-06-01,M,B,51,54
2019-06-01,M,B,21,23
2019-06-01,M,W,36,38
2019-06-01,M,B,29,31
2019-06-01,M,B,19,21
2019-06-01,M,B,19,20
2019-06-01,M,B,56,57
2019-06-01,M,W,38,39
2019-06-01,M,B,24,25
2019-06-01,M,W,31,32
2019-06-01,M,B,28,29
2019-06-01,M,B,48,49
2019-06-01,M,B,24,25
2019-06-01,M,B,35,36
2019-06-01,M,B,21,22
2019-06-01,M,B,17,18
2019-06-01,M,B,30,31
2019-06-01,M,B,48,48
2019-06-01,M,B,25,26
2019-06-01,M,B,21,21
2019-06-01,M,B,26,27
2019-06-01,M,B,31,32
2019-06-01,M,B,25,26
2019-06-01,M,W,72,73
2019-06-01,M,B,33,34
2019-06-01,M,B,18,19
2019-06-01,M,B,22,22
2019-06-01,M,B,30,31
2019-06-01,M,B,45,46
2019-06-01,M,B,37,38
2019-06-01,M,B,53,54
2019-06-01,M,W,25,26
2019-06-01,M,B,22,23
2019-06-01,M,B,20,21
2019-06-01,M,B,30,30
2019-06-01,M,B,51,51
2019-06-01,M,B,51,51
2019-06-01,M,B,23,24
2019-06-01,M,B,37,38
2019-06-01,M,W,35,35
2019-06-01,M,B,28,28
2019-06-01,M,B,19,19
2019-06-01,M,B,18,18
2019-06-01,M,B,34,35
2019-06-01,M,B,27,27
2019-06-01,M,B,23,24
2019-06-01,M,W,30,30
2019-06-01,M,B,21,21
2019-06-01,M,B,22,22
2019-06-01,M,B,23,23
2019-06-01,M,B,41,41
2019-06-01,M,B,26,26
2019-06-01,M,W,44,44
2019-06-01,M,B,21,21
2019-06-01,M,B,40,40
2019-06-01,M,B,29,29
2019-06-01,M,W,57,58
2019-06-01,M,B,28,28
2019-06-01,M,B,26,26
2019-06-01,M,B,32,33
2019-06-01,M,W,47,48
2019-06-01,M,B,41,41
2019-06-01,M,B,37,37
2019-06-01,M,B,19,22
2019-06-01,M,B,23,25
2019-06-01,M,B,25,27
2019-06-01,M,B,28,30
2019-06-01,M,B,34,35
2019-06-01,M,B,36,38
2019-06-01,M,B,31,32
2019-06-01,M,W,34,35
2019-06-01,M,B,31,31
2019-06-01,M,W,37,37
2019-06-01,M,B,28,29
2019-06-01,M,x,21,22
2019-06-01,M,B,25,25
2019-06-01,M,B,48,48
2019-06-01,M,B,21,22
2019-06-01,M,B,25,26
2019-06-01,M,W,36,36
2019-06-01,M,W,25,25
2019-06-01,M,W,33,33
2019-06-01,M,B,32,32
2019-06-01,M,W,28,28
2019-06-01,M,B,38,38
2019-06-01,M,W,37,38
2019-06-01,M,W,37,37
2019-06-01,M,B,26,26
2019-06-01,M,B,25,25
2019-06-01,M,W,23,24
2019-06-01,M,B,37,37
2019-06-01,M,B,17,18
2019-06-01,M,W,38,39
2019-06-01,M,W,34,34
2019-06-01,M,B,23,23
2019-06-01,M,B,49,49
2019-06-01,M,B,21,21
2019-06-01,M,B,36,36
2019-06-01,M,W,47,47
2019-06-01,M,W,39,39
2019-06-01,M,B,23,23
2019-06-01,M,W,38,38
2019-06-01,M,W,39,39
2019-06-01,M,B,37,37
2019-06-01,M,W,35,35
2019-06-01,M,B,30,30
2019-06-01,M,B,26,27
2019-06-01,M,B,59,59
2019-06-01,M,B,28,28
2019-06-01,M,B,26,26
2019-06-01,M,W,25,27
2019-06-01,M,W,53,54
2019-06-01,M,B,42,43
2019-06-01,M,U,51,51
2019-06-01,M,W,51,51
2019-06-01,M,B,46,47
2019-06-01,M,B,37,38
2019-06-01,M,B,27,27
2019-06-01,M,B,45,46
2019-06-01,M,H,28,29
2019-06-01,M,B,26,27
2019-06-01,M,B,33,34
2019-06-01,M,B,29,30
2019-06-01,M,B,32,33
2019-06-01,M,B,55,55
2019-06-01,M,x,47,48
2019-06-01,M,B,49,50
2019-06-01,M,W,38,38
2019-06-01,M,W,59,60
2019-06-01,M,H,26,27
2019-06-01,M,W,43,44
2019-06-01,M,W,20,20
2019-06-01,M,B,22,23
2019-06-01,M,B,53,54
2019-06-01,M,B,22,22
2019-06-01,M,B,21,21
2019-06-01,M,W,39,40
2019-06-01,M,B,20,20
2019-06-01,M,B,24,24
2019-06-01,M,B,21,21
2019-06-01,M,B,39,40
2019-06-01,M,B,31,31
2019-06-01,M,W,38,38
2019-06-01,M,B,21,22
2019-06-01,M,W,22,23
2019-06-01,M,W,55,56
2019-06-01,M,W,39,39
2019-06-01,M,W,42,42
2019-06-01,M,B,31,31
2019-06-01,M,B,52,53
2019-06-01,M,W,40,40
2019-06-01,M,B,27,27
2019-06-01,M,B,26,26
2019-06-01,M,B,44,45
2019-06-01,M,W,38,38
2019-06-01,M,A,33,33
2019-06-01,M,B,21,21
2019-06-01,M,B,59,59
2019-06-01,M,B,34,34
2019-06-01,M,B,28,28
2019-06-01,M,B,36,36
2019-06-01,M,B,37,37
2019-06-01,M,W,27,27
2019-06-01,M,B,58,58
2019-06-01,M,W,28,28
2019-06-01,M,B,51,51
2019-06-01,M,B,63,63
2019-06-01,M,B,37,37
2019-06-01,M,W,23,23
2019-06-01,M,W,38,38
2019-06-01,M,B,25,25
2019-06-01,M,U,58,58
2019-06-01,M,B,49,49
2019-06-01,M,W,33,33
2019-06-01,M,B,32,33
2019-06-01,M,W,31,31
2019-06-01,M,W,49,49
2019-06-01,M,B,41,41
2019-06-01,M,B,30,30
2019-06-01,M,W,49,49
2019-06-01,M,B,65,65
2019-06-01,M,W,29,29
2019-06-01,M,B,45,45
2019-06-01,M,B,31,31
2019-06-01,M,B,66,66
2019-06-01,M,W,41,41
2019-06-01,M,B,40,41
2019-06-01,M,B,39,39
2019-06-01,M,W,28,28
2019-06-01,M,W,26,26
2019-06-01,M,W,29,29
2019-06-01,M,B,28,28
2019-06-01,M,W,62,62
2019-06-01,M,W,21,21
2019-06-01,M,W,48,48
2019-06-01,M,B,47,47
2019-06-01,M,W,23,23
2019-06-01,M,B,48,48
2019-06-01,M,W,62,62
2019-06-01,M,B,41,43
2019-06-01,M,B,20,21
2019-06-01,M,B,21,22
2019-06-01,M,W,44,45
2019-06-01,M,W,37,37
2019-06-01,M,B,45,46
2019-06-01,M,W,23,24
2019-06-01,M,B,25,26
2019-06-01,M,W,50,50
2019-06-01,M,W,37,38
2019-06-01,M,W,39,40
2019-06-01,M,B,21,21
2019-06-01,M,W,31,31
2019-06-01,M,B,21,21
2019-06-01,M,B,23,24
2019-06-01,M,B,23,23
2019-06-01,M,B,38,39
2019-06-01,M,B,32,33
2019-06-01,M,U,30,31
2019-06-01,M,B,26,26
2019-06-01,M,B,30,30
2019-06-01,M,B,26,26
2019-06-01,M,W,48,48
2019-06-01,M,B,42,42
2019-06-01,M,W,28,28
2019-06-01,M,W,31,32
2019-06-01,M,W,60,60
2019-06-01,M,W,31,31
2019-06-01,M,B,55,55
2019-06-01,M,W,37,37
2019-06-01,M,B,25,26
2019-06-01,M,B,47,47
2019-06-01,M,W,29,29
2019-06-01,M,B,29,29
2019-06-01,M,W,24,25
2019-06-01,M,B,19,19
2019-06-01,M,W,63,63
2019-06-01,M,B,22,22
2019-06-01,M,W,27,27
2019-06-01,M,W,23,23
2019-06-01,M,W,42,42
2019-06-01,M,W,34,34
2019-06-01,M,W,37,37
2019-06-01,M,B,56,56
2019-06-01,M,W,40,40
2019-06-01,M,B,32,32
2019-06-01,M,W,34,34
2019-06-01,M,W,30,30
2019-06-01,M,B,70,71
2019-06-01,M,W,46,46
2019-06-01,M,B,23,23
2019-06-01,M,W,24,24
2019-06-01,M,B,30,30
2019-06-01,M,B,49,49
2019-06-01,M,W,60,60
2019-06-01,M,B,32,32
2019-06-01,M,B,27,27
2019-06-01,M,B,37,38
2019-06-01,M,W,28,28
2019-06-01,M,B,40,40
2019-06-01,M,W,24,24
2019-06-01,M,B,25,25
2019-06-01,M,W,25,25
2019-06-01,M,W,34,34
2019-06-01,M,W,32,32
2019-06-01,M,W,40,40
2019-06-01,M,W,50,50
2019-06-01,M,W,34,34
2019-06-01,M,W,30,30
2019-06-01,M,W,38,38
2019-06-01,M,B,22,22
2019-06-01,M,W,22,22
2019-06-01,M,B,56,56
2019-06-01,M,B,25,25
2019-06-01,M,W,43,43
2019-06-01,M,W,27,27
2019-06-01,M,B,27,27
2019-06-01,M,W,26,26
2019-06-01,M,B,62,62
2019-06-01,M,W,50,50
2019-06-01,M,W,27,27
2019-06-01,M,B,45,45
2019-06-01,M,B,49,49
2019-06-01,M,A,23,23
2019-06-01,M,W,31,31
2019-06-01,M,B,44,44
2019-06-01,M,B,46,48
2019-06-01,M,W,17,19
2019-06-01,M,B,37,38
2019-06-01,M,B,26,27
2019-06-01,M,B,38,39
2019-06-01,M,B,29,30
2019-06-01,M,B,61,61
2019-06-01,M,B,58,58
2019-06-01,M,B,28,29
2019-06-01,M,B,46,47
2019-06-01,M,B,50,50
2019-06-01,M,B,61,62
2019-06-01,M,W,45,46
2019-06-01,M,B,38,38
2019-06-01,M,W,39,40
2019-06-01,M,B,53,53
2019-06-01,M,W,40,40
2019-06-01,M,B,24,24
2019-06-01,M,U,49,49
2019-06-01,M,W,37,37
2019-06-01,M,B,28,29
2019-06-01,M,W,41,41
2019-06-01,M,B,49,49
2019-06-01,M,W,57,58
2019-06-01,M,B,56,56
2019-06-01,M,B,25,25
2019-06-01,M,B,29,30
2019-06-01,M,B,28,29
2019-06-01,M,B,39,39
2019-06-01,M,W,24,24
2019-06-01,M,W,47,48
2019-06-01,M,W,42,42
